id,titulo,a_pergunta,caminhos,recomendacao,preco_do_outro_lado,por_que_espera,onde_mora,foto_antes,foto_depois,custo,aberta_em,estado,escolha,decidida_em,nasceu_de
D-BLUETOOTH-E-TRILHA-DELA,"O mapeamento de Bluetooth é trilha dela, não do plano",O plano em ondas planeja também o mapeamento de Bluetooth?,"o plano planeja o BT junto com o resto | o BT é trilha dela com o assistente, na mesa do specs","trilha dela — a medição é da bancada, e a ordem de medir é dela","Planejar o BT aqui dentro produziria sprint sobre medição que ainda não existe, e travaria as ondas na espera.",Não espera: DECIDIDA em 23/08/2026.,"docs/process/SPRINT_ORDER.md, seção 0.7",,,zero: o que o plano carrega é QUAL pergunta de BT trava QUAL aba.,2026-08-23,decidida,"O plano NÃO planeja o mapeamento de BT. Mas cada sprint declara qual pergunta de BT a bloqueia, para o agente executor saber o que ele não pode afirmar na tela até a medição existir.",2026-08-23,"D2 das três decisões de processo dela, na seção 5 do 2026-08-23-ONDE-PARAMOS; materializada no painel pela O-QUE-FICOU-FORA-01"
D-CLASSE-COSMETICA,"Prova de tela: o que passa sem o olho dela, e o que espera por ele","Toda mudança de tela espera o olho dela, ou há uma classe pré-aprovada?","tudo espera o olho dela (PROVA-DE-TELA-01 ao pé da letra) | classe cosmética pré-aprovada, e o resto espera",classe cosmética pré-aprovada — senão onze ondas param na mesma pessoa,"Sem a classe pré-aprovada, alinhamento e espaçamento viram fila na mesa dela; com ela larga demais, texto novo chega à tela sem revisão.",Não espera: DECIDIDA em 23/08/2026.,"docs/process/2026-08-23-ONDE-PARAMOS-os-defeitos-de-forma-e-a-regencia.md, seção 5",,,zero: é critério de aceite das onze ondas.,2026-08-23,decidida,"SEM o olho dela antes: alinhamento, espaçamento, altura e largura de botão, quebra de linha, tornar dica visível, cor de estado já decidida. COM o olho dela ANTES: texto novo ou reescrito, ordem das seções, o que nasce visível, e qualquer coisa que mude o que se vê ao abrir.",2026-08-23,"D3 das três decisões de processo dela, na seção 5 do 2026-08-23-ONDE-PARAMOS; materializada no painel pela O-QUE-FICOU-FORA-01"
D-ESCADA-DE-RELEASES,"A versão sobe em degraus, e o esquema é de quatro níveis","O release até 1.0 é um salto só, ou uma escada de degraus? E o número é 0.95 ou 0.9.5?","um degrau só (critério de 15/08: mapa + canais + zero sprint aberta) | uma escada de degraus, cada um com critério próprio",escada — o degrau único junta três eixos independentes e por isso nunca chega,"O critério de 15/08 exige mapa completo E canais construídos E zero sprint aberta ao mesmo tempo; qualquer um dos três atrasa os outros dois, e nada sai enquanto isso.",Não espera: DECIDIDA em 24/08/2026.,docs/process/2026-08-24-A-ESCADA-DE-RELEASES.md,,,zero em código: é como a versão é numerada e o que cada degrau promete.,2026-08-24,decidida,"ESCADA de degraus, e o esquema é de QUATRO níveis: 0.9.5, 0.9.6, ... Ela escreveu '.95' e '96' no pedido; perguntada em seguida se era 0.95 ou 0.9.5, respondeu com a mensagem de uma linha '0.9.5' (sessão de 24/08/2026), o que mantém a coerência com a 0.9.4.5 de hoje. FONTE: a mensagem dela, no transcrito da sessão. O critério de 15/08 não se apaga: ganha nota datada dizendo que a escada o substitui.",2026-08-24,"pedido dela em 24/08: 'me ajuda a fazer a escadinha de releases pra mim .95 quando terminarmos a bancada do specs em bt, 96 terminarmos todas as sprints e tal...e depois?'"
D-MAPA-2D-DAS-PORTAS,O mapa físico das portas é desenhado e arrastado por ela,O kernel só publica physical_location em 1 das 11 portas. Como o produto aprende qual caminho de barramento é qual porta física?,"assistente ""plugue e eu aprendo"" | ela declara as faces e arrasta os aparelhos | sem mapa físico, só o caminho de barramento","assistente ""plugue e eu aprendo"" — 15 s por porta, zero digitação","o arrastar custa mais widget e erra se ela arrastar errado; sem mapa, a queixa ""qual porta?"" continua sem resposta",,docs/process/sprints/2026-08-24-CONEXOES-MAPA-2D-01-*.md,docs/usage/assets/readme_configuracoes_inteira.png,,"esquema novo no maquina.json + desenho GTK3; declarado uma vez, permanente por máquina",2026-08-24,decidida,"ELA DESENHA E ARRASTA — recusou o assistente. Declara as faces do gabinete e quantas portas cada uma tem; o produto lista os aparelhos detectados e ela arrasta cada um para o quadradinho. A âncora é o caminho de barramento, determinístico pelo soquete. O EXTENSOR é invisível por física (cabo passivo não tem identidade USB) e vira PORTA-FILHA declarada (15 -> 15a), para o desenho mostrar onde o dongle está de verdade no espaço.",2026-08-24,"a foto numerada do gabinete dela (24/08) contra a medição de physical_location: só 1-3 responde, o controlador 0000:0c:00.3 não publica ACPI _PLD"
D-ORDEM-DE-SERVICO,"A aba Conexões manda, não avisa — e toda ordem diz de onde sabe","A aba viu que o Wi-Fi USB 3.0 está no mesmo chip de hub que um dongle BT. Ela manda mudar, ou só mostra o risco?",manda com ordem de serviço | só informa o risco | manda só quando pedirem,manda com ordem de serviço — é o que faz a página ser checkpoint em vez de painel,"só informar é o que a aba faz hoje (""Vizinhança das portas"") e não ensinou nada",,docs/process/sprints/2026-08-24-ORDEM-DE-SERVICO-01-*.md,docs/usage/assets/readme_configuracoes.png,,"catálogo de regras + o selo de procedência modelado em dado, não em string de tela",2026-08-24,decidida,"MANDA, COM ORDEM DE SERVIÇO, e cada ordem carrega o SELO DE PROCEDÊNCIA em três linhas: o que eu vi aqui [medido] / por que importa [especificação de terceiro] / ganho esperado [derivado]. É a coluna de_onde_sei do mapa de canais, na tela. Sem o selo, raciocínio se veste de medição.",2026-08-24,"ela: ""vizinhança das portas, qual porta?"" — o produto calcula a vizinhança e acerta (mesa_de_radio.py:336), e publica cinco palavras sem aparelho, sem porta e sem conserto"
D-MICROFONE-NO-DESEMPENHO,A caixinha do microfone sai dos controles e vira a entrada da conta de slots,"A caixinha ""Microfone"" em Os controles não faz sentido (o botão físico manda). Mas ela é a entrada da conta de slots. Vira o quê?",declaração global no Desempenho | declaração POR CONTROLE no Desempenho | continua liga/desliga,declaração no Desempenho — é o número que decide se a mesa cheia funciona,sair de vez faz a conta assumir sempre o pior caso e perder precisão,,docs/process/sprints/2026-08-24-DESEMPENHO-A-CONTA-DE-SLOTS-01-*.md,docs/usage/assets/readme_configuracoes.png,,remover o bloco de secao_controles.py e nascer em secao_orcamento.py com a conta por adaptador,2026-08-24,decidida,"SAI de ""Os controles"" e vira declaração POR CONTROLE dentro do Desempenho, alimentando a conta de slots. Formato: ""Quem usa microfone: [x] Jogador 1 [x] Jogador 2 [ ] 3 [ ] 4"", e abaixo a barra por adaptador (P1+P2 com mic = 554/1600). Origem do número: bt_mic.py, A/B de 25/07/2026 — 260,4 sem mic, 276,7 com.",2026-08-24,"ela: ""botão do microfone não faz sentido (já que o físico faz isso aí)"" + ""deixar isso atrelado ao desempenho default do controle no modo bt"""
D-CONEXOES-ENTRA-NA-095,A aba Conexões entra na 0.9.5 e redefine o degrau,"A aba redesenhada não cabe na 0.9.5 como ela está escrita (só ""o CSV para de afirmar o que não mediu""). Onde ela entra na escada?",entra na 0.9.5 e a redefine | vai para a 0.9.8 | vira degrau próprio 0.9.6,entra na 0.9.5 e a redefine — são a mesma promessa,"atrasa a 0.9.5, que hoje fecharia só com faxina de CSV",,docs/process/2026-08-24-A-ESCADA-DE-RELEASES.md,,,"atrasa a 0.9.5 pelo tamanho das quatro frentes; em troca, a 0.9.5 passa a entregar algo que quem instala percebe",2026-08-24,decidida,"ENTRA NA 0.9.5 E A REDEFINE. A 0.9.5 passa a ser ""o rádio para de mentir"" nos DOIS sentidos: o CSV para de afirmar o que não mediu, E a aba para de esconder o que sabe. O motivo: o specs mede o CANAL, não o AMBIENTE de rádio — ele prova que 21 features funcionam no rádio NA BANCADA DELA. A aba Conexões é o que torna o specs transferível para outra máquina.",2026-08-24,a leitura do specs.html contra as queixas dela sobre a aba: as duas são a mesma promessa
D-MVP-SO-DUALSENSE,O MVP é o DualSense; Pro e 8BitDo voltam na 1.0,"Das 61 pendências do mapa, 36 são Pro Controller e 8BitDo. Elas entram na 0.9.5?",0.9.5 mede só o DualSense | entram só no que dá para medir | os três na 0.9.5,só o DualSense — é a alavanca mais barata da escada (61 -> 25 sem um minuto de bancada),"Pro e 8BitDo continuam funcionando, mas sem a garantia de ""o rádio parou de mentir"" nesta versão",,docs/process/2026-08-24-A-ESCADA-DE-RELEASES.md e SPRINT_ORDER.md §0.9,,,"zero — é corte de escopo, e derruba 36 das 61 pendências do mapa",2026-08-24,decidida,"SÓ O DUALSENSE na 0.9.5. Palavra dela: ""Eu tenho eles mas temos que pensar no mvp. o negócio nasceu pra fazer o dualsense funcionar. Vamos completar tudo pro dualsense, depois voltamos neles lá na versão 1.0 e tal."" FATO CORRIGIDO: o SPRINT_ORDER.md §0.9 afirmava que ela NÃO tem o 8BitDo na mesa — ela TEM os dois. O corte é de escopo de MVP, não de inventário, e a contradição que a escada apontava entre §0.9 e §0.6 morre aqui.",2026-08-24,"a D-J e a §5 da A-ESCADA-DE-RELEASES, que apontava a contradição entre §0.9 e §0.6 do SPRINT_ORDER"
D-GESTO-DO-MAPA,"O aparelho entra no quadrado por clique-em-clique, não por arrasto","Arrastar de verdade, ou clicar no aparelho e clicar no quadrado?",clique-em-clique | arrastar-e-soltar | clique agora e arrasto depois,"clique-em-clique — é fotografável, e a prova de tela é a regra desta casa que mais economizou","é menos gostoso que arrastar, e arrastar foi o que ela pediu na D-MAPA-2D",,"docs/process/sprints/2026-08-24-CONEXOES-MAPA-2D-01-o-gabinete-que-o-produto-nao-enxerga.md, tarefa MAPA-4",novo-layout/mapa-das-portas.html,,menos código que o arrasto de GTK3,2026-08-24,decidida,"CLIQUE-EM-CLIQUE. Ela SUBSTITUI a própria palavra ""arrastado"" da D-MAPA-2D ao ver o preço: gesto de arrastar NÃO é fotografável pelo retrato offscreen, então nenhum teste consegue provar que ele funciona; e quem não usa mouse fica sem caminho. O clique dá teclado de graça e dois sinais visuais em vez de um.",2026-08-24,a Frente A mediu três coisas contra o arrasto e perguntou em vez de decidir sozinha
D-A-PALAVRA-ENTRADA,"A aba diz ""entrada"", não ""porta""",Qual palavra a aba usa para o buraco de USB do gabinete?,"""Entrada 4 do hub"" | ""Porta 4 do hub"" | ""Hub, entrada 4""","""Entrada"" — sai da frase dela e não colide com porta de rede","""porta"" é o termo técnico corrente e o que a documentação de fora usa",,docs/process/sprints/2026-08-24-CONFIGURACOES-O-LEXICO-01-a-aba-que-fala-barramento-com-quem-ve-gabinete.md,,,cinco frases de secao_mesa.py mais cada quadrado do mapa,2026-08-24,decidida,"""ENTRADA"". Sai da frase dela mesma: ""o número da entrada usb salvaria muito como coluna"". Vantagem medida: não colide com ""porta"" no sentido de rede/software, que aparece noutros pontos do produto. Vale para a tela inteira da aba e para o mapa 2D; identificador de código continua podendo ser `porta`.",2026-08-24,"ela escreveu ""entrada"" e o assistente vinha escrevendo ""porta"" — duas palavras para a mesma coisa é o F11"
D-MIC-SO-QUEM-ESTA-NA-MESA,"As caixinhas de microfone são uma por controle PRESENTE, mais a linha do ""cabe mais um""","Quatro caixinhas fixas (P1 a P4), ou uma por controle que está na mesa?","uma por controle presente + ""cabe mais um"" | quatro fixas | quatro fixas com duas contas","uma por presente mais a linha do ""cabe mais um"" — responde o planejamento sem inventar controle","o desenho que ela aprovou mostrava quatro fixas, e ele muda de forma",,docs/process/sprints/2026-08-24-DESEMPENHO-A-CONTA-DE-SLOTS-01-o-numero-que-o-specs-mediu-e-a-tela-nao-gasta.md,,,uma linha derivada a mais na seção Desempenho,2026-08-24,decidida,"UMA POR CONTROLE PRESENTE, mais a linha ""Cabe mais um controle com microfone: sim — ficaria em N de 1600"". O obstáculo medido pela Frente C: o perfil guarda por MAC, e caixinha de controle que nunca esteve na mesa não tem MAC onde ser gravada — marcar e o produto esquecer é exatamente o F1. A linha derivada responde o planejamento sem inventar chave.",2026-08-24,o desenho aprovado por ela mostrava quatro fixas; a Frente C mediu que duas delas não têm onde gravar
D-PRIMEIRA-ABERTURA,O que a aba diz para quem nunca desenhou a mesa,O que a aba mostra no estado em que 100% das pessoas menos ela vão abri-la?,com o exemplo do caminho e o botão no topo | só a frase | aviso só dentro de Conexões,com o exemplo e o botão no topo — quem não vê o ganho não gasta os cinco minutos,mais uma caixa no topo de uma aba que já pede 2505 px,,docs/process/sprints/2026-08-24-ORDEM-DE-SERVICO-01-o-exame-que-viu-e-nao-mandou.md,,,uma caixa no exame mais o botão que abre a janela do mapa,2026-08-24,decidida,"""Você ainda não desenhou a sua mesa. Enquanto isso eu digo o caminho do sistema (3-1.1.4) em vez do número da sua entrada."", com [Desenhar a minha mesa] DENTRO do aviso do topo — não só lá embaixo em Conexões. O defeito de fluxo que o cético achou: as seções nascem exame, controles, conexões, desempenho, janela; quem não rolar a página nunca sabe que o mapa existe, e o produto fica falando 3-1.1.4 para sempre.",2026-08-24,"o cético: é o estado de 100% dos usuários menos ela, e nenhuma das quatro frentes o desenhou inteiro"
D-PERFIL-DE-DESEMPENHO,"Os cinco degraus do Orçamento viram UM perfil de desempenho, e o microfone fica fora dele",Ligar tudo por default e tirar o botão? E atrelar isso a um perfil de desempenho?,cinco degraus como hoje | um perfil de desempenho que decide | perfil que inclui o microfone,"um perfil, com o microfone FORA dele","pôr o microfone dentro do perfil daria uma decisão só, ao custo de ligar um captador de som por efeito colateral",,src/hefesto_dualsense4unix/app/actions/config/secao_orcamento.py e novo-layout/mapa-das-portas.html,docs/usage/assets/readme_configuracoes.png,,troca cinco botões por três; a migração dos valores em disco é 1-para-1 e não perde nada,2026-08-24,decidida,"UM PERFIL DE DESEMPENHO no lugar dos cinco degraus, e o MICROFONE FORA dele, em linha própria. Medido em core/rumble.py: `_ORCAMENTO_COM_TETO` só casa com ""economia"" — `balanceado`, `max`, `auto` e o não-declarado devolvem None, e o teto alcança a vibracao e nada mais, coisa que a própria tela já confessa. São cinco botoes, quatro sem efeito, governando uma feature. O perfil (Tudo ligado / Bateria longa / Eu escolho) decide o que custa BATERIA. O microfone fica fora porque e o único que CAPTA A SALA: o mapa de canais registra que ele nasce desligado por privacidade E banda, e perfil que o liga sozinho transforma escolha de desempenho em escolha de privacidade feita pelas costas. Migração sem perda: economia->Bateria longa; balanceado/max/auto/vazio->Tudo ligado; custom->Eu escolho.",2026-08-24,"ela: ""que tal atrelarmos isso removendo essa parte e deixando o equivalente a essa parte como o perfil de desempenho?"""
